store_id,sku_id,snapshot_date,stock_on_hand,reorder_point,safety_stock,last_restock_date
26,1124,2025-10-31,86,20,10,2025-10-24
19,1035,2025-10-31,36,20,10,2025-10-24
38,1088,2025-10-31,52,20,10,2025-10-24
3,1164,2025-10-31,101,20,10,2025-10-24
2,1093,2025-10-31,98,20,10,2025-10-24
25,1067,2025-10-31,58,20,10,2025-10-24
2,1043,2025-10-31,127,20,10,2025-10-24
38,1008,2025-10-31,87,20,10,2025-10-24
28,1121,2025-10-31,10,20,10,2025-10-24
37,1078,2025-10-31,13,20,10,2025-10-24
13,1036,2025-10-31,139,20,10,2025-10-24
25,1127,2025-10-31,38,20,10,2025-10-24
9,1048,2025-10-31,63,20,10,2025-10-24
15,1174,2025-10-31,119,20,10,2025-10-24
11,1160,2025-10-31,148,20,10,2025-10-24
32,1135,2025-10-31,135,20,10,2025-10-24
24,1074,2025-10-31,88,20,10,2025-10-24
24,1140,2025-10-31,20,20,10,2025-10-24
46,1055,2025-10-31,143,20,10,2025-10-24
43,1023,2025-10-31,101,20,10,2025-10-24
22,1180,2025-10-31,121,20,10,2025-10-24
46,1013,2025-10-31,67,20,10,2025-10-24
32,1199,2025-10-31,14,20,10,2025-10-24
3,1053,2025-10-31,20,20,10,2025-10-24
49,1063,2025-10-31,22,20,10,2025-10-24
25,1074,2025-10-31,84,20,10,2025-10-24
23,1149,2025-10-31,105,20,10,2025-10-24
46,1199,2025-10-31,29,20,10,2025-10-24
11,1027,2025-10-31,93,20,10,2025-10-24
41,1009,2025-10-31,121,20,10,2025-10-24
43,1116,2025-10-31,11,20,10,2025-10-24
44,1105,2025-10-31,108,20,10,2025-10-24
17,1052,2025-10-31,122,20,10,2025-10-24
9,1045,2025-10-31,36,20,10,2025-10-24
24,1038,2025-10-31,10,20,10,2025-10-24
47,1164,2025-10-31,103,20,10,2025-10-24
21,1081,2025-10-31,101,20,10,2025-10-24
41,1085,2025-10-31,10,20,10,2025-10-24
22,1058,2025-10-31,48,20,10,2025-10-24
6,1046,2025-10-31,92,20,10,2025-10-24
2,1123,2025-10-31,120,20,10,2025-10-24
1,1195,2025-10-31,30,20,10,2025-10-24
33,1193,2025-10-31,96,20,10,2025-10-24
27,1146,2025-10-31,148,20,10,2025-10-24
9,1130,2025-10-31,142,20,10,2025-10-24
20,1104,2025-10-31,20,20,10,2025-10-24
3,1112,2025-10-31,81,20,10,2025-10-24
45,1132,2025-10-31,83,20,10,2025-10-24
21,1096,2025-10-31,60,20,10,2025-10-24
12,1083,2025-10-31,78,20,10,2025-10-24
31,1170,2025-10-31,63,20,10,2025-10-24
14,1049,2025-10-31,65,20,10,2025-10-24
7,1177,2025-10-31,80,20,10,2025-10-24
29,1117,2025-10-31,136,20,10,2025-10-24
7,1135,2025-10-31,129,20,10,2025-10-24
5,1199,2025-10-31,112,20,10,2025-10-24
18,1094,2025-10-31,44,20,10,2025-10-24
12,1051,2025-10-31,62,20,10,2025-10-24
37,1155,2025-10-31,86,20,10,2025-10-24
1,1069,2025-10-31,48,20,10,2025-10-24
11,1167,2025-10-31,41,20,10,2025-10-24
21,1027,2025-10-31,56,20,10,2025-10-24
21,1111,2025-10-31,144,20,10,2025-10-24
44,1138,2025-10-31,19,20,10,2025-10-24
34,1036,2025-10-31,46,20,10,2025-10-24
10,1095,2025-10-31,133,20,10,2025-10-24
33,1016,2025-10-31,34,20,10,2025-10-24
49,1164,2025-10-31,83,20,10,2025-10-24
12,1090,2025-10-31,64,20,10,2025-10-24
13,1108,2025-10-31,113,20,10,2025-10-24
42,1084,2025-10-31,23,20,10,2025-10-24
43,1162,2025-10-31,68,20,10,2025-10-24
13,1165,2025-10-31,119,20,10,2025-10-24
16,1200,2025-10-31,46,20,10,2025-10-24
38,1068,2025-10-31,78,20,10,2025-10-24
31,1059,2025-10-31,131,20,10,2025-10-24
3,1157,2025-10-31,71,20,10,2025-10-24
15,1031,2025-10-31,16,20,10,2025-10-24
5,1066,2025-10-31,70,20,10,2025-10-24
4,1089,2025-10-31,101,20,10,2025-10-24
28,1003,2025-10-31,21,20,10,2025-10-24
48,1107,2025-10-31,91,20,10,2025-10-24
10,1022,2025-10-31,109,20,10,2025-10-24
44,1029,2025-10-31,36,20,10,2025-10-24
25,1186,2025-10-31,74,20,10,2025-10-24
34,1052,2025-10-31,51,20,10,2025-10-24
30,1072,2025-10-31,97,20,10,2025-10-24
35,1007,2025-10-31,105,20,10,2025-10-24
28,1119,2025-10-31,129,20,10,2025-10-24
25,1050,2025-10-31,82,20,10,2025-10-24
19,1152,2025-10-31,28,20,10,2025-10-24
35,1087,2025-10-31,50,20,10,2025-10-24
1,1153,2025-10-31,32,20,10,2025-10-24
27,1044,2025-10-31,121,20,10,2025-10-24
38,1036,2025-10-31,147,20,10,2025-10-24
43,1185,2025-10-31,129,20,10,2025-10-24
33,1097,2025-10-31,65,20,10,2025-10-24
17,1165,2025-10-31,113,20,10,2025-10-24
46,1103,2025-10-31,65,20,10,2025-10-24
36,1180,2025-10-31,67,20,10,2025-10-24
7,1125,2025-10-31,49,20,10,2025-10-24
24,1191,2025-10-31,117,20,10,2025-10-24
36,1007,2025-10-31,146,20,10,2025-10-24
34,1094,2025-10-31,123,20,10,2025-10-24
21,1188,2025-10-31,89,20,10,2025-10-24
2,1121,2025-10-31,11,20,10,2025-10-24
22,1109,2025-10-31,18,20,10,2025-10-24
10,1021,2025-10-31,70,20,10,2025-10-24
20,1098,2025-10-31,107,20,10,2025-10-24
33,1046,2025-10-31,116,20,10,2025-10-24
4,1021,2025-10-31,97,20,10,2025-10-24
8,1098,2025-10-31,13,20,10,2025-10-24
40,1096,2025-10-31,54,20,10,2025-10-24
